Head,RightShoulder,RightArm,RightForeArm,RightHand,LeftShoulder,LeftArm,LeftForeArm,LeftHand,Hip,RightUpLeg,RightLeg,RightFoot,LeftUpLeg,LeftLeg,LeftFoot
19.44859,15.44069,68.60474,102.0143,35.41243,12.63975,60.3031,97.81966,29.91375,13.22959,15.32356,28.73907,12.58067,56.81423,110.1034,13.48977
18.12985,14.97762,67.78272,103.3452,35.43046,12.25294,60.48727,99.26382,29.9147,13.84464,13.46981,27.40777,8.825904,58.80079,105.5569,15.24518
16.85698,14.5708,67.07851,104.4452,35.38125,11.89708,60.53219,100.56,29.93108,13.95668,11.4303,25.61684,6.323853,59.85065,101.9321,18.03449
15.62436,14.15912,66.75381,105.3024,35.28231,11.44525,60.3447,101.8983,30.01752,14.00959,9.527567,24.16389,8.252419,60.98733,97.15491,19.57861
14.43857,13.60478,66.75682,105.8974,35.11077,10.96195,59.93894,103.2013,30.11943,14.53764,7.997115,23.35724,14.58851,61.89569,91.7998,21.06545
13.34348,12.99437,66.69563,106.2607,34.84141,10.56017,59.30017,104.5909,30.37136,15.41132,7.505501,23.00385,22.92263,62.72765,86.0885,22.40368
12.53889,12.48907,66.69563,106.2607,34.84141,9.582022,59.30017,104.5909,30.37136,16.13515,7.094475,23.42769,31.31152,62.7983,80.1771,22.18666
11.84689,12.18498,66.69563,106.2607,34.84141,8.739197,59.30017,104.5909,30.37136,16.68636,7.037282,24.30955,37.70615,62.4606,74.36037,23.63507
10.70912,11.60294,64.93159,106.3377,33.54206,10.33109,56.34507,107.0986,31.12098,16.68636,7.037282,24.30955,42.03325,61.03146,68.31787,25.02457
10.00154,11.3201,64.1648,105.9167,32.89636,10.37953,55.27135,107.6395,31.578,16.68636,7.037282,24.30955,45.51128,59.36522,62.23997,25.84671
9.430435,11.12733,63.63289,105.2466,32.10231,10.46556,54.25483,109.1284,31.3487,18.28182,5.701885,33.10929,41.54873,58.59574,60.03395,31.97023
8.959206,10.94578,63.26109,104.3182,31.18858,10.48726,53.35749,109.6529,31.38347,18.75362,5.499165,36.69475,40.07747,56.78156,57.63078,37.92865
8.592653,10.74595,63.06908,103.1858,30.21397,10.34087,52.98011,110.8335,30.29866,18.9327,5.530258,40.3893,38.28003,54.64883,50.69253,38.1763
8.041365,10.01829,63.70634,100.4161,28.30043,10.23613,52.27367,111.2662,29.81135,18.57283,6.109977,49.23629,32.85537,49.25347,28.16713,29.28036
7.820124,9.478174,64.57862,98.84236,27.44851,10.30922,52.00665,111.3682,29.43344,18.09787,6.713677,53.33781,30.87052,46.24637,19.84242,29.44559
7.577164,9.490649,65.03824,97.23116,26.72072,10.74296,51.74869,111.3981,28.31987,17.5962,8.572023,56.8498,29.57102,43.63033,12.43729,29.20156
7.328517,9.503356,65.59968,95.65034,26.16014,11.34348,51.54773,111.3472,27.6596,17.03586,9.188969,60.96299,29.08211,41.15315,7.808295,29.20409
7.709158,9.302611,66.8131,94.15348,25.77325,11.44031,51.19572,111.5384,27.08262,16.45234,9.697533,65.09735,29.39357,38.77108,6.18475,30.00183
7.865267,8.922489,67.93803,92.73684,25.5128,11.971,51.40152,111.3503,26.67958,15.84854,10.16306,69.24082,30.1792,36.32179,7.249973,30.94982
7.902822,7.991432,68.32541,91.94705,25.3773,12.66442,50.5202,112.8533,26.46299,15.21023,10.70041,73.38764,31.12737,36.29544,11.72835,31.88734
8.008763,8.204151,68.34196,90.55709,25.19835,13.08292,49.79258,114.5899,26.27455,14.73219,11.12768,77.63661,32.05529,32.70139,12.79963,31.57925
8.133862,8.677662,68.18681,89.43626,24.44436,13.30727,50.52842,114.5434,26.00732,14.32628,11.38818,82.03513,32.81373,29.32446,15.02006,29.14467
8.263233,9.635762,68.30803,87.79929,24.21233,13.51678,53.86931,109.2162,25.63627,13.5234,11.8302,86.51632,33.42314,29.43672,14.30517,24.56752
8.452936,11.08922,68.8415,85.97751,23.97448,14.18044,54.59853,107.5026,25.19202,12.18421,12.71436,90.9604,33.97395,30.91801,10.77639,20.77172
8.773911,11.93965,69.57116,83.77499,23.75646,15.38593,55.31291,105.3239,24.67148,10.75273,13.90796,95.31136,34.40179,32.80234,10.5944,17.40765
13.34542,16.06247,69.97891,81.0963,23.54203,16.49639,56.5261,102.5392,24.00787,9.581613,15.12442,98.83054,35.3047,34.04565,18.44281,18.42507
14.31477,16.56144,70.07364,78.29678,23.35849,17.07156,57.69157,99.38425,23.39648,8.61587,16.12882,103.0018,35.56597,36.03377,26.85765,20.07218
15.65699,17.08729,70.86762,75.5191,23.37454,16.41965,59.64702,96.20341,23.05767,8.028789,16.25757,107.2287,35.61817,38.16182,34.36065,22.95259
17.09248,17.46866,72.301,72.7701,23.64547,16.23582,60.77307,95.52946,22.98638,7.753633,15.44013,111.4271,35.30484,40.0502,38.48847,24.23701
17.56953,17.74792,73.29076,70.26215,26.67863,16.57575,61.98964,96.46041,23.20735,7.915697,14.08477,115.0303,34.69109,40.0626,38.19478,17.60219
17.40995,17.70101,74.35783,68.21746,29.71577,16.15251,63.99292,97.89786,23.3678,8.478939,12.62852,118.3877,33.78268,40.27774,41.92501,15.65243
17.26776,17.52304,75.77483,70.79023,26.89162,15.66226,65.40235,99.35164,23.3952,8.82546,12.095,120.5674,33.06073,41.26258,44.74229,18.20085
17.00151,17.0519,76.70087,73.21835,24.54138,15.20156,67.11799,100.5141,23.36628,8.727176,11.30694,122.417,32.80132,38.75515,45.44514,20.82556
17.10383,16.94078,76.85822,72.34938,23.46658,14.36042,68.66273,97.03664,23.27314,8.613597,10.46017,122.679,32.65964,35.74551,46.95872,22.20568
17.2944,16.98515,76.09061,72.161,25.58401,13.2618,69.51956,93.6667,23.66806,9.197917,9.186666,123.215,32.17165,33.09255,48.16528,23.0895
17.67298,16.90955,75.17587,68.51618,27.96842,12.23591,69.87223,94.87506,23.00837,10.15457,10.12304,124.3325,30.53956,27.29834,42.69437,24.36276
17.77257,16.89765,74.48323,70.28667,29.12348,11.523,69.83164,96.3579,22.31596,10.90258,14.69373,124.0868,29.18411,24.86483,38.65719,25.72696
17.93047,16.98644,74.07354,71.97208,30.11456,11.17373,69.36594,103.752,23.50762,11.5815,19.65535,123.541,27.17482,21.95038,33.95368,27.48576
15.3294,12.48989,73.73623,75.1311,31.44665,13.53036,66.62125,106.4511,22.94819,12.41356,24.76348,117.7406,21.96838,19.04677,31.68313,28.18997
14.44612,11.32038,73.94936,76.55437,31.92198,12.85942,64.64317,107.8988,22.53902,12.61802,25.27695,112.6009,19.05263,18.55428,30.57727,26.1846
13.41407,9.988523,74.37202,77.74864,32.25723,12.08923,62.40302,109.4823,22.05832,12.63212,28.64474,111.5094,16.19228,19.74374,30.13911,22.33004
12.39984,8.567635,74.82829,78.77488,32.50546,11.19433,60.17035,111.1225,21.56353,12.52256,31.48174,110.6919,13.82354,20.66266,30.10336,17.91289
11.80319,8.768462,75.17964,79.75822,32.69875,9.860366,58.23059,112.5393,21.13268,12.33243,39.79771,116.3597,12.63851,20.16459,28.52713,13.46707
11.2468,9.29705,75.37068,80.70889,32.85508,8.665103,56.62104,113.3846,20.88462,11.90604,41.32574,112.7002,12.61528,19.68694,26.12538,8.791751
12.15773,5.681111,75.46758,81.57716,32.97591,9.052553,55.11419,113.6728,20.54254,11.44936,42.85929,108.1976,13.04425,18.91014,23.87625,3.361023
12.99062,4.670967,75.63336,82.42667,33.07329,8.506888,54.02799,113.6017,19.35491,11.06346,44.08243,103.264,13.77806,18.72769,21.96895,6.644853
14.03667,3.957456,75.92397,83.19566,33.13811,8.036882,53.74142,112.6396,17.34643,10.93123,45.23438,97.55591,14.76269,18.63781,20.41613,5.329389
15.18373,3.646765,76.10189,83.88895,33.15995,7.845723,53.31242,112.4926,17.21636,10.89215,46.04654,91.52734,16.23703,18.78411,19.12061,5.394371
16.36537,3.54753,75.86246,84.45989,33.20222,7.516242,53.56345,112.6926,19.09736,10.8882,46.2785,85.05695,17.62026,19.20498,18.42115,12.76951
